cloudtrail_performance_summary_optimized_all_queries
Query_ID,PPL_Query,DSL_Query,PPL_Avg_ms,PPL_Median_ms,PPL_Std_ms,PPL_MAD_ms,PPL_P90_ms,PPL_P95_ms,PPL_P99_ms,PPL_Min_ms,PPL_Max_ms,PPL_Raw_Max_ms,PPL_Outlier_Count,PPL_Success_Rate,DSL_Avg_ms,DSL_Median_ms,DSL_Std_ms,DSL_MAD_ms,DSL_P90_ms,DSL_P95_ms,DSL_P99_ms,DSL_Min_ms,DSL_Max_ms,DSL_Raw_Max_ms,DSL_Outlier_Count,DSL_Success_Rate,Winner,PPL_DSL_Ratio,Statistically_Significant,Performance_Outlier,Outlier_Reason
1,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | stats count() as `Event Count`,"{""track_total_hits"":true,""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",104.66,103.9,5.85,3.94,111.82,113.83,120.79,94.89,121.41,121.41,0,100.0,100.85,99.77,4.96,3.67,107.21,109.86,113.1,93.01,113.69,113.69,0,100.0,DSL,1.04,Yes,No,
2,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() by span(@timestamp, 30d)","{""track_total_hits"":true,""aggs"":{""2"":{""date_histogram"":{""field"":""@timestamp"",""fixed_interval"":""30d"",""time_zone"":""America/Los_Angeles"",""min_doc_count"":1}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",103.86,103.02,5.64,4.45,111.51,114.44,119.01,96.76,121.59,166.68,1,100.0,102.38,101.51,5.63,3.33,109.54,111.77,116.94,93.45,119.93,169.66,4,100.0,DSL,1.01,No,No,
3,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | stats count() as Count by `aws.cloudtrail.userIdentity.accountId` | eval `Account Id` = CAST(`aws.cloudtrail.userIdentity.accountId` AS STRING) | sort - Count | head 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.cloudtrail.userIdentity.accountId.keyword"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",114.34,114.4,4.73,3.3,120.91,121.57,122.59,105.27,123.25,149.81,1,100.0,100.74,100.17,4.28,2.36,107.64,107.94,112.47,93.68,112.81,120.52,3,100.0,DSL,1.14,Yes,No,
4,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.eventCategory` | SORT - Count | HEAD 5,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.cloudtrail.eventCategory"",""order"":{""_count"":""desc""},""size"":5}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",106.38,105.95,5.73,3.09,114.57,116.43,122.69,98.34,124.2,127.82,1,100.0,101.41,100.21,5.78,3.46,108.5,112.09,117.02,90.82,119.77,121.79,1,100.0,DSL,1.06,Yes,No,
5,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.awsRegion` | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.cloudtrail.awsRegion"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",106.64,106.21,6.38,4.13,115.07,118.58,122.51,94.88,123.91,132.16,1,100.0,101.41,101.7,5.45,3.24,107.97,110.36,113.02,91.32,113.47,167.41,1,100.0,DSL,1.04,Yes,No,
6,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.eventName` | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.cloudtrail.eventName"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",106.47,105.75,4.66,2.95,112.35,113.87,118.81,97.79,120.39,120.39,0,100.0,101.23,100.72,5.61,4.0,106.7,109.06,116.69,91.28,122.09,133.72,1,100.0,DSL,1.05,Yes,No,
7,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.eventSource` | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.cloudtrail.eventSource"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",107.37,107.9,4.42,3.12,111.75,112.96,119.4,97.94,120.66,148.16,2,100.0,100.83,99.88,5.1,3.09,107.24,110.64,114.43,93.2,115.44,126.8,2,100.0,DSL,1.08,Yes,No,
8,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | WHERE NOT (aws.cloudtrail.sourceIPAddress LIKE '%.amazon%.com%' OR aws.cloudtrail.sourceIPAddress LIKE 'AWS%') | STATS count() as Count by aws.cloudtrail.sourceIPAddress | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.cloudtrail.sourceIPAddress"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""bool"":{""must_not"":{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.cloudtrail.sourceIPAddress""],""query"":""*\\.amazon*\\.com* AWS*""}}],""minimum_should_match"":1}}}}],""should"":[],""must_not"":[]}}}",112.46,110.82,5.95,2.97,122.98,124.18,127.02,104.98,128.97,152.79,1,100.0,100.15,98.86,4.17,3.3,105.88,107.68,108.95,93.76,109.26,109.26,0,100.0,DSL,1.12,Yes,No,
9,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName, aws.cloudtrail.userIdentity.accountId, aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.type | rename aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName as `User Name`, aws.cloudtrail.userIdentity.accountId as `Account Id`, aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.type as `Type` | SORT - Count | HEAD 10","{""size"":0,""aggs"":{""multi_field_agg"":{""composite"":{""size"":10,""sources"":[{""userName"":{""terms"":{""field"":""aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName.keyword"",""missing_bucket"":true}}},{""accountId"":{""terms"":{""field"":""aws.cloudtrail.userIdentity.accountId.keyword"",""missing_bucket"":true}}},{""type"":{""terms"":{""field"":""aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.type.keyword"",""missing_bucket"":true}}}]}}}}",118.48,117.81,4.95,3.76,125.21,127.21,128.76,110.01,129.55,148.34,1,100.0,99.92,99.67,4.64,3.24,105.28,108.83,112.15,91.79,113.91,113.91,0,100.0,DSL,1.18,Yes,No,
10,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | parse `aws.cloudtrail.eventSource` ""(?<service>s3.*)"" | WHERE isnotnull(service) and `errorCode`=""AccessDenied"" | STATS count() as Count","{""track_total_hits"":true,""aggs"":{},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""bool"":{""filter"":[{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.cloudtrail.eventSource""],""query"":""s3*""}}],""minimum_should_match"":1}},{""bool"":{""should"":[{""match"":{""errorCode"":""AccessDenied""}}],""minimum_should_match"":1}}]}},{""bool"":{""should"":[{""exists"":{""field"":""errorCode""}}],""minimum_should_match"":1}}],""should"":[],""must_not"":[]}}}",109.85,109.51,5.48,4.08,116.58,118.67,122.21,100.08,123.18,123.18,0,100.0,102.48,101.72,5.56,3.64,109.75,112.55,116.12,92.19,116.73,166.89,2,100.0,DSL,1.08,Yes,No,
