nfw_performance_summary_optimized_all_queries
Query_ID,PPL_Query,DSL_Query,PPL_Avg_ms,PPL_Median_ms,PPL_Std_ms,PPL_MAD_ms,PPL_P90_ms,PPL_P95_ms,PPL_P99_ms,PPL_Min_ms,PPL_Max_ms,PPL_Raw_Max_ms,PPL_Outlier_Count,PPL_Success_Rate,DSL_Avg_ms,DSL_Median_ms,DSL_Std_ms,DSL_MAD_ms,DSL_P90_ms,DSL_P95_ms,DSL_P99_ms,DSL_Min_ms,DSL_Max_ms,DSL_Raw_Max_ms,DSL_Outlier_Count,DSL_Success_Rate,Winner,PPL_DSL_Ratio,Statistically_Significant,Performance_Outlier,Outlier_Reason
1,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.pkts`) as packet_count by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.src_ip` | rename `aws.networkfirewall.event.src_ip` as `Source IP` | sort - packet_count | head 10","{""track_total_hits"":true,""size"":0,""aggs"":{""source_ips"":{""terms"":{""field"":""aws.networkfirewall.event.src_ip"",""size"":10,""order"":{""total_packets"":""desc""}},""aggs"":{""total_packets"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""packet_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",120.21,120.39,5.56,4.74,126.28,127.4,135.94,111.4,140.18,151.96,1,100.0,102.37,101.83,6.41,4.67,110.14,114.02,118.31,90.56,119.75,159.05,1,100.0,DSL,1.18,Yes,No,
2,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.bytes`) as sum_bytes by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.src_ip` | rename  `aws.networkfirewall.event.src_ip` as `Source IP` | sort - sum_bytes | head 10","{""track_total_hits"":true,""size"":0,""aggs"":{""source_ips"":{""terms"":{""field"":""aws.networkfirewall.event.src_ip"",""size"":10,""order"":{""total_bytes"":""desc""}},""aggs"":{""total_bytes"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""byte_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",123.11,123.59,5.31,3.92,128.55,131.46,135.26,112.87,135.97,135.97,0,100.0,102.49,102.42,5.35,4.02,108.79,111.28,115.51,91.8,119.12,119.12,0,100.0,DSL,1.21,Yes,No,
3,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.pkts`) as packet_count by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.dest_ip` | rename `aws.networkfirewall.event.dest_ip` as `Destination IP` | sort - packet_count | head 10","{""track_total_hits"":true,""size"":0,""aggs"":{""source_ips"":{""terms"":{""field"":""aws.networkfirewall.event.dest_ip"",""size"":10,""order"":{""total_packets"":""desc""}},""aggs"":{""total_packets"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""packet_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",122.25,122.25,5.22,3.67,127.3,130.89,135.43,110.68,135.69,154.22,1,100.0,102.72,103.15,5.36,3.98,109.45,112.52,113.21,94.11,113.29,136.68,1,100.0,DSL,1.19,Yes,No,
4,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.bytes`) as bytes by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.dest_ip` | rename `aws.networkfirewall.event.dest_ip` as `Destination IP` | sort - bytes | head 10","{""track_total_hits"":true,""size"":0,""aggs"":{""source_ips"":{""terms"":{""field"":""aws.networkfirewall.event.dest_ip"",""size"":10,""order"":{""total_bytes"":""desc""}},""aggs"":{""total_bytes"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""byte_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",123.16,122.91,6.91,4.39,131.88,136.14,140.77,112.24,143.22,172.81,1,100.0,101.75,101.16,5.3,3.44,108.34,112.13,115.5,94.72,116.98,116.98,0,100.0,DSL,1.22,Yes,No,
5,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | STATS SUM(`aws.networkfirewall.event.netflow.pkts`) as Packets, SUM(`aws.networkfirewall.event.netflow.bytes`) as Bytes by `aws.networkfirewall.event.src_ip` | RENAME `aws.networkfirewall.event.src_ip` as `Source IP` | SORT - Bytes, Packets | HEAD 10","{""track_total_hits"":true,""aggs"":{""3"":{""terms"":{""field"":""aws.networkfirewall.event.src_ip"",""order"":{""2"":""desc""},""size"":10},""aggs"":{""1"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}},""2"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",120.27,119.79,4.61,3.18,126.07,127.63,131.9,112.04,132.52,140.3,1,100.0,102.92,102.29,5.16,3.11,109.12,114.56,116.95,94.57,117.66,122.54,1,100.0,DSL,1.17,Yes,No,
6,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | STATS SUM(`aws.networkfirewall.event.netflow.pkts`) as Packets, SUM(`aws.networkfirewall.event.netflow.bytes`) as Bytes by `aws.networkfirewall.event.dest_ip` | RENAME `aws.networkfirewall.event.dest_ip` as `Destination IP`  | SORT - Bytes, Packets | HEAD 10","{""track_total_hits"":true,""aggs"":{""3"":{""terms"":{""field"":""aws.networkfirewall.event.dest_ip"",""order"":{""2"":""desc""},""size"":10},""aggs"":{""1"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}},""2"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",120.39,119.53,6.81,3.78,131.83,133.6,138.53,109.94,142.01,147.09,1,100.0,101.93,101.02,5.32,3.53,108.48,111.68,115.04,93.98,116.8,223.05,2,100.0,DSL,1.18,Yes,No,
7,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.pkts`) as packet_count by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip` | eval `Src IP - Dst IP` = concat(`aws.networkfirewall.event.src_ip`, ""-"", `aws.networkfirewall.event.dest_ip`) | sort - packet_count | head 10","{""track_total_hits"":true,""size"":0,""aggs"":{""ip_pairs"":{""multi_terms"":{""terms"":[{""field"":""aws.networkfirewall.event.src_ip""},{""field"":""aws.networkfirewall.event.dest_ip""}],""size"":10,""order"":{""total_packets"":""desc""}},""aggs"":{""total_packets"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""packet_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",132.92,133.3,4.33,3.17,137.63,138.68,142.71,123.9,144.14,165.92,1,100.0,100.17,99.72,4.02,2.87,105.06,106.84,110.13,92.44,112.19,125.36,2,100.0,DSL,1.34,Yes,No,
8,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.bytes`) as bytes by span(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip` | eval `Src IP - Dst IP` = concat(`aws.networkfirewall.event.src_ip`, ""-"", `aws.networkfirewall.event.dest_ip`) | sort - bytes | head 10","{""track_total_hits"":true,""size"":0,""aggs"":{""ip_pairs"":{""multi_terms"":{""terms"":[{""field"":""aws.networkfirewall.event.src_ip""},{""field"":""aws.networkfirewall.event.dest_ip""}],""size"":10,""order"":{""total_bytes"":""desc""}},""aggs"":{""total_bytes"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""byte_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",135.49,135.78,6.6,4.64,142.42,146.92,154.15,125.62,155.34,155.34,0,100.0,102.72,101.02,7.51,3.99,114.79,118.91,124.47,94.34,128.35,535.76,5,100.0,DSL,1.34,Yes,No,
9,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | where `aws.networkfirewall.event.alert.action` = ""allowed"" | stats count() as event_count by span(`aws.networkfirewall.event.timestamp`, 2d) as time_bucket, `aws.networkfirewall.event.http.hostname` | rename `aws.networkfirewall.event.http.hostname` as `Hostname` | sort - event_count","{""track_total_hits"":true,""size"":0,""aggs"":{""hostnames"":{""terms"":{""field"":""aws.networkfirewall.event.http.hostname"",""size"":10,""order"":{""total_events"":""desc""}},""aggs"":{""total_events"":{""value_count"":{""field"":""aws.networkfirewall.event.http.hostname""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""event_count"":{""value_count"":{""field"":""aws.networkfirewall.event.http.hostname""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""term"":{""aws.networkfirewall.event.alert.action"":""allowed""}}],""should"":[],""must_not"":[]}}}",112.57,112.08,4.45,3.71,118.21,119.16,123.34,105.95,124.39,487.65,6,100.0,100.62,100.53,5.31,4.26,107.37,108.77,113.08,92.84,115.19,171.38,3,100.0,DSL,1.11,Yes,Yes,High_Outlier_Rate(6/50=12.0%>5%)
10,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | where `aws.networkfirewall.event.alert.action` = ""blocked"" and isnotnull(`aws.networkfirewall.event.http.hostname`) | stats count() as event_count by span(`aws.networkfirewall.event.timestamp`, 2d) as time_bucket, `aws.networkfirewall.event.http.hostname` | rename `aws.networkfirewall.event.http.hostname` as `Hostname` | sort - event_count | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""hostnames"":{""terms"":{""field"":""aws.networkfirewall.event.http.hostname"",""size"":10,""order"":{""total_events"":""desc""}},""aggs"":{""total_events"":{""value_count"":{""field"":""aws.networkfirewall.event.http.hostname""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""event_count"":{""value_count"":{""field"":""aws.networkfirewall.event.http.hostname""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""term"":{""aws.networkfirewall.event.alert.action"":""blocked""}},{""exists"":{""field"":""aws.networkfirewall.event.http.hostname""}}],""should"":[],""must_not"":[]}}}",114.12,112.96,4.86,3.58,122.47,123.12,123.9,106.63,124.16,232.25,1,100.0,98.3,97.59,3.58,2.29,104.12,104.77,105.39,92.46,105.44,113.2,1,100.0,DSL,1.16,Yes,No,
11,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | where `aws.networkfirewall.event.alert.action` = ""allowed"" | stats count() as event_count by span(`aws.networkfirewall.event.timestamp`, 2d) as time_bucket, `aws.networkfirewall.event.tls.sni` | rename `aws.networkfirewall.event.tls.sni` as `Hostname` | sort - event_count | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""hostnames"":{""terms"":{""field"":""aws.networkfirewall.event.tls.sni"",""size"":10,""order"":{""total_events"":""desc""}},""aggs"":{""total_events"":{""value_count"":{""field"":""aws.networkfirewall.event.tls.sni""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""event_count"":{""value_count"":{""field"":""aws.networkfirewall.event.tls.sni""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""term"":{""aws.networkfirewall.event.alert.action"":""allowed""}}],""should"":[],""must_not"":[]}}}",119.39,117.64,7.05,4.35,129.55,131.09,137.55,108.97,141.79,165.1,2,100.0,102.34,100.79,6.76,4.22,111.04,112.71,122.7,92.44,125.54,125.54,0,100.0,DSL,1.17,Yes,No,
12,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | where `aws.networkfirewall.event.alert.action` = ""blocked"" and isnotnull(`aws.networkfirewall.event.tls.sni`) | stats count() as event_count by span(`aws.networkfirewall.event.timestamp`, 2d) as time_bucket, `aws.networkfirewall.event.tls.sni` | rename `aws.networkfirewall.event.tls.sni` as `Hostname` | sort - event_count | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""multi_field_agg"":{""composite"":{""size"":10,""sources"":[{""time_bucket"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""}}},{""hostname"":{""terms"":{""field"":""aws.networkfirewall.event.tls.sni""}}}]}}},""query"":{""bool"":{""filter"":[{""term"":{""aws.networkfirewall.event.alert.action"":""blocked""}},{""exists"":{""field"":""aws.networkfirewall.event.tls.sni""}}]}}}",121.68,120.63,6.99,4.27,133.84,136.04,138.93,110.32,139.73,139.73,0,100.0,100.28,100.57,5.85,4.57,106.91,109.14,115.2,90.87,119.01,144.68,1,100.0,DSL,1.2,Yes,No,
13,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE isnotnull(`aws.networkfirewall.event.http.url`) | STATS count() as event_count by span(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.http.url` | RENAME `aws.networkfirewall.event.http.url` as `URL` | SORT - event_count | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""hostnames"":{""terms"":{""field"":""aws.networkfirewall.event.http.url"",""size"":10,""order"":{""total_events"":""desc""}},""aggs"":{""total_events"":{""value_count"":{""field"":""aws.networkfirewall.event.http.url""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""event_count"":{""value_count"":{""field"":""aws.networkfirewall.event.http.url""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""exists"":{""field"":""aws.networkfirewall.event.http.url""}}],""should"":[],""must_not"":[]}}}",139.26,132.03,28.1,13.97,191.26,202.33,214.48,109.14,222.1,1102.5,4,100.0,105.98,103.73,9.03,4.74,115.23,125.97,133.86,95.35,138.89,579.61,8,100.0,DSL,1.27,Yes,Yes,High_Outlier_Rate(4/50=8.0%>5%)
14,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE isnotnull(`aws.networkfirewall.event.http.http_user_agent`) | STATS count() as event_count by span(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.http.http_user_agent` | RENAME `aws.networkfirewall.event.http.http_user_agent` as `URL` | SORT - event_count | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""hostnames"":{""terms"":{""field"":""aws.networkfirewall.event.http.http_user_agent"",""size"":10,""order"":{""total_events"":""desc""}},""aggs"":{""total_events"":{""value_count"":{""field"":""aws.networkfirewall.event.http.http_user_agent""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""event_count"":{""value_count"":{""field"":""aws.networkfirewall.event.http.http_user_agent""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""exists"":{""field"":""aws.networkfirewall.event.http.http_user_agent""}}],""should"":[],""must_not"":[]}}}",107.64,107.5,3.85,2.89,113.6,114.54,115.03,100.85,115.14,115.14,0,100.0,96.71,96.03,2.98,2.16,100.02,101.4,104.72,91.48,106.54,115.14,3,100.0,DSL,1.12,Yes,No,
