vpc_performance_summary_optimized_all_queries
vpc_performance_summary_optimized_all_queries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query_ID,PPL_Query,DSL_Query,PPL_Avg_ms,PPL_Median_ms,PPL_Std_ms,PPL_MAD_ms,PPL_P90_ms,PPL_P95_ms,PPL_P99_ms,PPL_Min_ms,PPL_Max_ms,PPL_Raw_Max_ms,PPL_Outlier_Count,PPL_Success_Rate,DSL_Avg_ms,DSL_Median_ms,DSL_Std_ms,DSL_MAD_ms,DSL_P90_ms,DSL_P95_ms,DSL_P99_ms,DSL_Min_ms,DSL_Max_ms,DSL_Raw_Max_ms,DSL_Outlier_Count,DSL_Success_Rate,Winner,PPL_DSL_Ratio,Performance_Outlier
1,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count(),"{""track_total_hits"":true,""aggs"":{},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",39.09,38.34,4.04,2.33,44.4,47.75,50.18,32.76,50.79,56.83,1,100.0,38.26,37.72,4.95,3.07,44.11,46.5,52.55,31.34,53.1,59.97,1,100.0,DSL,1.02,No
2,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by aws.vpc.action | SORT - Count | HEAD 5,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.action"",""order"":{""1"":""desc""},""size"":5},""aggs"":{""1"":{""sum"":{""field"":""aws.vpc.total_count""}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""start_time"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",44.68,42.01,10.38,5.08,60.96,68.8,71.84,31.14,73.04,177.25,3,100.0,40.19,39.3,5.99,4.58,47.73,51.35,55.11,30.45,56.38,603.89,5,100.0,DSL,1.07,No
3,"SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() by span(@timestamp, 30d)","{""track_total_hits"":true,""aggs"":{""2"":{""date_histogram"":{""field"":""@timestamp"",""fixed_interval"":""30d"",""time_zone"":""America/Los_Angeles"",""min_doc_count"":1}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",56.66,52.31,14.9,10.24,76.29,83.57,90.78,35.12,91.08,1146.18,4,100.0,51.45,46.88,15.06,9.12,72.03,80.26,88.4,33.81,90.73,179.69,2,100.0,DSL,1.12,No
4,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by `aws.vpc.flow-direction` | SORT - Count | HEAD 5,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.flow-direction"",""order"":{""_count"":""desc""},""size"":5}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",42.22,42.13,5.51,3.46,47.96,49.2,58.36,33.42,63.32,98.3,2,100.0,41.43,40.21,6.53,4.36,50.3,52.02,60.31,32.79,65.35,165.57,6,100.0,DSL,1.05,No
5,"SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS sum(aws.vpc.bytes) by span(@timestamp, 30d)","{""track_total_hits"":true,""aggs"":{""2"":{""date_histogram"":{""field"":""@timestamp"",""fixed_interval"":""30d"",""time_zone"":""America/Los_Angeles"",""min_doc_count"":1},""aggs"":{""1"":{""sum"":{""field"":""aws.vpc.bytes""}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",43.66,41.66,7.27,3.88,53.78,59.48,61.95,33.4,62.51,136.73,1,100.0,41.73,40.61,6.27,3.47,51.79,54.26,57.61,31.7,57.86,57.86,0,100.0,DSL,1.03,No
6,"SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS sum(aws.vpc.packets) by span(@timestamp, 30d)","{""track_total_hits"":true,""aggs"":{""2"":{""date_histogram"":{""field"":""@timestamp"",""fixed_interval"":""30d"",""time_zone"":""America/Los_Angeles"",""min_doc_count"":1},""aggs"":{""1"":{""sum"":{""field"":""aws.vpc.packets""}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",40.89,40.29,4.42,3.66,47.37,48.09,50.39,33.58,51.18,51.18,0,100.0,40.74,39.95,5.43,3.47,47.63,51.62,53.52,32.39,53.8,65.43,2,100.0,DSL,1.01,No
7,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by `aws.vpc.pkt-src-aws-service` | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.pkt-src-aws-service"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",41.11,41.71,5.99,4.02,47.12,50.94,58.39,32.95,63.89,63.89,0,100.0,39.37,38.47,4.39,3.1,45.89,47.14,49.27,33.46,49.94,49.94,0,100.0,DSL,1.08,No
8,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by `aws.vpc.pkt-dst-aws-service` | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.pkt-dst-aws-service"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",42.51,40.91,6.92,4.64,52.89,56.55,58.46,32.13,59.29,59.29,0,100.0,40.78,40.36,6.41,4.8,48.5,52.29,56.46,30.42,57.75,57.75,0,100.0,DSL,1.01,No
9,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats sum(`aws.vpc.bytes`) as Bytes by `aws.vpc.dstaddr` | sort - Bytes | head 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.dstaddr"",""order"":{""1"":""desc""},""size"":10},""aggs"":{""1"":{""sum"":{""field"":""aws.vpc.bytes""}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",47.98,47.71,6.18,3.56,56.98,60.86,63.5,37.95,64.06,69.97,1,100.0,41.48,40.94,5.91,4.91,48.47,51.56,54.93,32.17,55.78,109.16,2,100.0,DSL,1.17,No
10,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats sum(`aws.vpc.bytes`) as Bytes by `aws.vpc.srcaddr` | sort - Bytes | head 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.srcaddr"",""order"":{""1"":""desc""},""size"":10},""aggs"":{""1"":{""sum"":{""field"":""aws.vpc.bytes""}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",50.32,48.87,10.61,5.55,61.8,75.57,82.62,39.25,83.78,123.79,2,100.0,47.62,44.98,10.86,6.96,63.81,67.51,77.27,31.27,78.83,240.36,2,100.0,DSL,1.09,No
