waf_performance_summary_optimized_all_queries
Query_ID,PPL_Query,DSL_Query,PPL_Avg_ms,PPL_Median_ms,PPL_Std_ms,PPL_MAD_ms,PPL_P90_ms,PPL_P95_ms,PPL_P99_ms,PPL_Min_ms,PPL_Max_ms,PPL_Raw_Max_ms,PPL_Outlier_Count,PPL_Success_Rate,DSL_Avg_ms,DSL_Median_ms,DSL_Std_ms,DSL_MAD_ms,DSL_P90_ms,DSL_P95_ms,DSL_P99_ms,DSL_Min_ms,DSL_Max_ms,DSL_Raw_Max_ms,DSL_Outlier_Count,DSL_Success_Rate,Winner,PPL_DSL_Ratio,Statistically_Significant,Performance_Outlier,Outlier_Reason
1,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count(),"{""track_total_hits"":true,""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""timestamp"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",101.27,100.31,5.36,4.1,107.26,108.37,116.49,91.01,120.17,120.17,0,100.0,100.37,99.51,6.11,3.96,108.21,112.12,118.26,92.71,118.45,124.98,2,100.0,DSL,1.01,No,No,
2,"SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as Count by span(@timestamp, 30d), aws.waf.action | rename aws.waf.action as Action | SORT - Count	| HEAD 5","{""track_total_hits"":true,""aggs"":{""multi_field_agg"":{""composite"":{""size"":5,""sources"":[{""time_bucket"":{""date_histogram"":{""field"":""@timestamp"",""fixed_interval"":""30d""}}},{""action"":{""terms"":{""field"":""aws.waf.action""}}}]}}},""size"":0}",107.72,107.86,5.89,4.3,116.74,117.51,122.22,98.88,124.93,166.41,1,100.0,101.63,100.49,5.98,3.69,107.93,112.43,118.13,89.38,121.11,127.07,1,100.0,DSL,1.07,Yes,No,
3,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as `Count` by `aws.waf.webaclId` | SORT - `Count` | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.waf.webaclId"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""start_time"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",109.25,109.06,4.76,2.8,113.72,115.49,124.26,102.33,126.7,183.45,2,100.0,102.82,103.83,5.75,3.84,109.75,112.66,115.21,90.97,115.23,170.18,1,100.0,DSL,1.05,Yes,No,
4,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as Count by `aws.waf.httpSourceId` | SORT - Count | Head 5,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.waf.httpSourceId"",""order"":{""_count"":""desc""},""size"":5}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""timestamp"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",111.92,110.06,7.69,4.28,125.49,127.2,131.4,98.61,132.45,132.45,0,100.0,100.75,100.47,4.81,3.63,107.71,109.13,110.34,92.18,110.9,151.21,2,100.0,DSL,1.1,Yes,No,
5,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as `Count` by `aws.waf.httpRequest.clientIp` | SORT - `Count` | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.waf.httpRequest.clientIp"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""timestamp"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",109.58,109.5,5.13,4.4,117.75,118.11,119.07,101.8,119.77,119.77,0,100.0,99.6,99.15,5.55,4.16,106.38,109.66,114.23,91.54,116.05,148.27,4,100.0,DSL,1.1,Yes,No,
6,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as Count by `aws.waf.httpRequest.country` | SORT - Count,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.waf.httpRequest.country"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""timestamp"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",107.59,105.96,6.28,3.86,117.34,119.97,121.17,98.68,122.06,136.93,1,100.0,99.98,99.86,5.71,3.99,107.29,110.28,113.78,91.28,115.56,115.56,0,100.0,DSL,1.06,Yes,No,
7,SOURCE = flint_new_data_source_default_aws_waf__mview | stats count() as Count by `aws.waf.terminatingRuleId` | sort - Count | head 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.waf.terminatingRuleId"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""timestamp"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",110.31,109.23,4.77,3.26,116.25,119.05,122.03,101.52,122.19,131.0,1,100.0,103.41,102.03,6.88,3.61,115.19,117.11,120.31,92.88,120.39,120.39,0,100.0,DSL,1.07,Yes,No,
8,"SOURCE = flint_new_data_source_default_aws_waf__mview | WHERE aws.waf.action = ""BLOCK"" | STATS count() as `Total Blocked Requests`","{""track_total_hits"":true,""aggs"":{},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""timestamp"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""term"":{""aws.waf.action"":""BLOCK""}}],""should"":[],""must_not"":[]}}}",102.49,101.76,4.42,3.38,107.82,109.35,113.37,95.01,113.93,130.99,2,100.0,97.35,96.14,4.29,2.94,103.17,105.65,107.12,90.44,107.14,128.85,1,100.0,DSL,1.06,Yes,No,
9,SOURCE = flint_new_data_source_default_aws_waf__mview | stats count() as Count by `aws.waf.httpRequest.uri` | sort - Count | head 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.waf.httpRequest.uri"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""timestamp"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",103.22,102.44,3.91,2.21,108.64,110.0,113.09,95.47,113.45,135.78,1,100.0,98.45,96.85,4.15,2.57,103.21,104.23,110.33,91.97,111.67,113.8,1,100.0,DSL,1.06,Yes,No,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
